股票名称,周期,时间,是否命中,命中策略,策略状态摘要,图
MP,4h,2026-03-09 07:44:14,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260309_074353.png
MP,4h,2026-03-09 05:44:44,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260309_054422.png
MP,4h,2026-03-09 03:44:16,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260309_034355.png
MP,4h,2026-03-09 01:43:54,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260309_014332.png
MP,4h,2026-03-08 23:44:19,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_234358.png
MP,4h,2026-03-08 21:44:14,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_214353.png
MP,4h,2026-03-08 19:40:35,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_194015.png
MP,4h,2026-03-08 17:44:04,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_174343.png
MP,4h,2026-03-08 15:40:45,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_154025.png
MP,4h,2026-03-08 13:40:47,是,笑笑砖策略,笑笑砖策略:hit(repeat_suppressed) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(buy_red_no_pair) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),C:\Users\Administrator\Desktop\futu_combo_watch\output\hit_MP_4h_buy_core_20260308_134027.png
