股票名称,周期,时间,strategy_id,strategy_name,strategy_mode,strategy_status,是否命中,trigger_bar,reason,推送状态,图
BILI,1h,2026-03-08 13:00:28,buy_core,笑笑砖策略,live,no_hit,否,492483,pattern_not_met,none,
BILI,1h,2026-03-08 13:00:28,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
BILI,1h,2026-03-08 13:00:28,buy_purple_bottom,紫抄,shadow,no_hit,否,492483,template_miss,shadow,
BILI,1h,2026-03-08 13:00:28,sell_purple_cry,紫色哭脸,live,no_hit,否,492483,template_miss,none,
BILI,1h,2026-03-08 13:00:28,sell_purple_exit,紫色卖出,shadow,no_hit,否,492483,template_miss,shadow,
BILI,2h,2026-03-08 13:01:37,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
BILI,2h,2026-03-08 13:01:37,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,template_miss,shadow,
BILI,2h,2026-03-08 13:01:37,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
BILI,2h,2026-03-08 13:01:37,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
BILI,2h,2026-03-08 13:01:37,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
BILI,3h,2026-03-08 13:02:46,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
BILI,3h,2026-03-08 13:02:46,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,template_miss,shadow,
BILI,3h,2026-03-08 13:02:46,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
BILI,3h,2026-03-08 13:02:46,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
BILI,3h,2026-03-08 13:02:46,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
BILI,4h,2026-03-08 13:04:11,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
BILI,4h,2026-03-08 13:04:11,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
BILI,4h,2026-03-08 13:04:11,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
BILI,4h,2026-03-08 13:04:11,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
BILI,4h,2026-03-08 13:04:11,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
CONI,1h,2026-03-08 13:05:05,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
CONI,1h,2026-03-08 13:05:05,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
