序号,时间(北京时间),股票,周期,规则窗口(北京时间),命中详情,run_id,标注图,原图
1,2026-03-09 07:44:14,MP,4h,2026-03-07 16:00 ~ 2026-03-09 04:00,"S1=123116, S2=123117, D=123117(red)",20260308225941927229,,
2,2026-03-09 05:44:44,MP,4h,2026-03-07 16:00 ~ 2026-03-09 04:00,"S1=123116, S2=123117, D=123117(red)",20260308205943682338,,
3,2026-03-09 03:44:16,MP,4h,2026-03-07 12:00 ~ 2026-03-09 00:00,"S1=123115, S2=123116, D=123116(red)",20260308185944327675,,
4,2026-03-09 01:43:54,MP,4h,2026-03-07 12:00 ~ 2026-03-09 00:00,"S1=123115, S2=123116, D=123116(red)",20260308165944361362,,
5,2026-03-08 23:44:19,MP,4h,2026-03-07 08:00 ~ 2026-03-08 20:00,"S1=123114, S2=123115, D=123115(red)",20260308145942399206,,
6,2026-03-08 21:44:14,MP,4h,2026-03-07 08:00 ~ 2026-03-08 20:00,"S1=123114, S2=123115, D=123115(red)",20260308125941713760,,
7,2026-03-08 19:40:35,MP,4h,2026-03-07 04:00 ~ 2026-03-08 16:00,"S1=123113, S2=123114, D=123114(red)",20260308105942472087,,
8,2026-03-08 17:44:04,MP,4h,2026-03-07 04:00 ~ 2026-03-08 16:00,"S1=123113, S2=123114, D=123114(red)",20260308085944426541,,
9,2026-03-08 15:40:45,MP,4h,2026-03-07 00:00 ~ 2026-03-08 12:00,"S1=123112, S2=123113, D=123113(red)",20260308065941759690,,
10,2026-03-08 13:40:47,MP,4h,2026-03-07 00:00 ~ 2026-03-08 12:00,"S1=123112, S2=123113, D=123113(red)",20260308045941148050,,
